
"0 A.D."
123sqlengine
"2532 Gigs"
2wm
389-admin
389-admin-console
389-adminutil
389-console
389-ds-base
389-ds-console
389-dsgw
"3D Pong"
3dFB
3dldf
"3dpl GE"
4Pane
4digits
4store
4tH
6tunnel
7kaa
7kaa-data
8sync
9menu
9mount
"A Bingo"
"A package for handling Kolab data stored on an IMAP server"
A+
A2K
A2b
A2png
A2ps
AAFAQ
AAK-Cont
AB-Transfers
ABC
"ABI Dumper"
"ABI compliance checker"
ABINIT
"ABX Tester"
ABYSS
ABridge
ACDK
"ACE UC Sniffer"
ACL2
ACal
AClock
"ADG: Automatic Drawing Generation"
ADL
ADM
ADOdb
"ADOdb Lite"
"ADOdb for Python"
"ADX Addressbook"
"ADempiere BR"
AEIOU
AFD
AFFLIBv3
AFR
AFT
AFileDialog
AGFL
AGT
AIDE
"AIM Sniff"
AITALC
"AJAX Book Reader"
"AJAX Chat"
AKFAvatar
AKFQuiz
ALBERTA
ALE
ALSA
"ALSA Midi Kommander"
"ALSA OSS"
"ALSA Patch Bay"
"ALSA driver"
"ALSA library"
"ALSA plugins"
"ALSA tools"
"ALSA utilities"
"ALURE - AL Utilities REtooled"
AMB-Plugins
AMORE
AMPSharp
"AMQP Protocol"
AMaViS-ng
AMule
"ANDREW's Not a DVD Ripping and Encoding Wizard"
ANGRYsearch
"ANK djbdns"
ANT
ANTLRv2
ANTLRv3
AOLserver
"AOP Alliance"
APAz
APCu
"APE Tag Libraries"
APEL
"API Sanity Checker"
"API accessor for gravatar.com"
"APNG Assembler"
"APNG Optimizer"
APQ
"APQ PostgreSQL"
APSR
APScheduler
APacheDEX
APing
"ARChon Packager"
ARDEN
ARandR
ARts
ASCEND
ASEPRITE
ASIS
"ASN.1 Compiler"
ASPSeek
AST
AT1
ATC-pie
ATK
ATLAS
"ATM SAR Library (SARLib)"
ATSLog
AUnit
AVFS
AVInfo
AVRA
AVbin
AWF
AWOL
"AWS SDK for PHP"
AWStats
AZR3
Aac-tactics
Aafigure
Aalib
Aap
Aapl
"Aardvark Shellutils"
Aasm
AbGate
Abacas
"AbanteCart - Open Source Ecommerce Solution"
Abbrev
Abbrev-js
Abc2ps
Abcde
Abclock
Abcm2ps
Abcmidi
Abcpp
Abcsh
AbiWord
Abiword
Abook
Aboot
Abraca
Abs
Absence
"Absolut Engine"
Abstract-deque
Abstract-leveldown
Abstract-par
Abuse
Acccheck
Accepts
Accerciser
"Access user Class"
AccountsService
Acct
Ace-of-penguins
AcePerl
Acedb
"Acegi Security"
AcetoneISO
Achievo
"Achievo ATK"
Acid-state
Ack
AckerTodo
Acm
Acme
Acme-Bleach
Acme-Damn
Acme-EyeDrops
Acme-POE-Knee
Acme-constant
Acmemail
Acon
"AcoustID fingerprinter"
Acovea
"Acpi call"
AcpiTool
Acsccid
Actdiag
ActiViz.NET
Actim
"Action Mailer"
"Action Query"
"Actionpack-action caching"
Activation
Active
"Active Calendar"
"Active Resources"
"Active Spam Killer"
Active-x-obfuscator
"ActiveMQ ActiveIO"
"ActiveMQ Protocol Buffers Plugin"
Activeldap
"Activerecord-deprecated finders"
Activity-log-manager
"Actor platform"
"Acts as Audited"
"Acts as api"
"Acts as fu"
Acts-as-taggable-on
"Ad-hoc Support Library"
AdPlug
"Ada Components"
"Ada Motif binding library"
"Ada Web Server"
AdaControl
AdaCurses
AdaDoc
AdaGate
AdaSockets
AdaUnits
AdaVenture
AdacURL
"Adaptive Sampling Kit"
"Adblock Plus"
Adcd
Addendat
Addressable
"Addressbooks Synchronizer"
Adequate
Adie
Adjtimex
Adlint
Admesh
Adminer
Adns
Adtool
Advance
"Advanced Stock Tracking System"
Advene
Ae
Aegis
Aegisub
Aenig4
Aeolus
AeroCalc
Aesfix
Aeskeyfind
Aeskulap
Aeson-pretty
Aether
Aetherspace
Aewan
Aewm
Affero
Affinity
Affy
Affyio
Afick
Afick-Webmin
Afm
Afpfs-ng
Aften
AfterStep
"AfterStep Clock Applet"
Ag.el
Agatha
"Agave - GNOME Colorscheme Generator"
Agda
"Agda standard library"
Agda-executable
AgeCalc
"Ageless for YouTube"
"Agenda du libre"
Agendaroids
Agg
Aggregate
Aghermann
Agide
"Agile Toolkit"
Agnostos
Ags
Ahcpd
Ahven
Aigaion
Ain2
Air-quality-sensor
AirTraffic
Aircrack
Aircrack-ng
Airhook
Airs
Airspy-host
Airstrike
Airtime
Aisleriot
Aj-snapshot
AjaxMyTop
Ajaxterm
Akregator
"Alarm Pinger"
Alarm-clock-applet
Albino
"Album Cover Art Downloader 2"
Alchemist
Ald
Aldo
Ale
Alembic
Alerttail
Aletheia
Alex4
Alexandria
"Alexis FTP (aftp)"
"Alexis Makes (amake)"
"Alfandega Firewall"
Alfresco
Algart
Alglib
AlgoBox
"Algol 68 Genie"
Algorithm-C3
Algorithm-Combinatorics
Algorithm-Diff
Algorithm-Diff-XS
Algorithm-LBFGS
Algorithm-Munkres
Algorithm-Permute
Alias
Aliased
Alien
"Alien hunter"
Alien-Gnuplot
Alien-SDL
Alien-wxWidgets
Alienblaster
Aliens
Align
Aliki
Alist
Alive
"All-in-One Gestures"
AllCommerce
AllKnowingDNS
AllPairs
AllTray
Allegro
"Allegro 4"
"Allegro 5"
Alleyoop
Alliance
AllocPSA
Almanah
Almclk
Alnuth
Alog
Alogg
Alot
AlphaMail
Alpine
Alpine3D
Alpy
AlsaModularSynth
Alsaequal
Alsaplayer
Alt
"Alt key"
Alt-Base
Alt-ergo
Altcdfenvs
AlterMIME
Alterparagraphs
Althea
Altium2kicad
Altree
Alumni-OnLine
Am-utils
AmSynth
Amanda
Amap-align
Amara
Amarok
Amavisd-milter
Amavisd-new
Amaya
Amazon-SQS-Simple
Amazon-ec2
AmbDec
Amber
Ambisuite
Amdefine
Amide
AmigaShell
Amiri
Amispammer
Amnesia
Amor
Ampache
Ampache-themes
AmphetaDesk
AmphetaRate
AmpliconNoise
Amq-protocol
Amqp
Ams
Amsmercury
An
"An Gramadoir"
"An email filter rules manager"
Anagramarama
Analitza
Analog
And-httpd
AndStatus
Andatool
Andika
"Android native frameworks"
"Android system core libraries and tools"
"Android- dg Alert Classic"
Android-latinoware
Android-tools
"Androids rewrite of the evil licensed json.org"
Androresolvd
"Andy's PHP Knowledgebase"
Anemone
Anet
Anfo
AngelScript
"Angry Drunken Dwarves"
"Angry, Drunken Dwarves"
Angular2
AngularJS
"Anguly Mail Client"
Animail
"Animal Shelter Manager"
"Animal Sniffer"
Anise
Anjuta
Anki
Annif
"Annotation-indexer for jenkins"
AnnotationDbi
Anolis
Anontwi
Anonymine
"Anonymous Pro"
Anonymouth
Ansi
Ansi-color-table
Ansible
Ansiprint
Ant
AntTweakBar
"Anteil 2"
Antelope
Anthy
AntiDialer
AntiExploit
"AntiRight Desktop Environment"
Antidote
Antigen
Antimicro
Antiparser
Antiword
"Antony Dovgal"
Anubis
Any-Moose
Any-Template-ProcessDir
Any-URI-Escape
AnyData
"AnyEdit tools"
AnyEvent
"AnyEvent DBD Pg"
"AnyEvent HTTPD"
"AnyEvent XMPP"
AnyEvent-CacheDNS
AnyEvent-DBI
AnyEvent-Gearman
AnyEvent-HTTP
AnyEvent-HTTP-ScopedClient
AnyEvent-I3
AnyEvent-IRC
AnyEvent-Memcached
AnyEvent-Redis
Anyjson
Anymeal
Anypaper
"Apache ActiveMQ"
"Apache Ant"
"Apache Avalon"
"Apache AxKit"
